content,course_link,course_start_date,description,duration,faculty_1_description,faculty_1_designation,faculty_1_name,faculty_2_description,faculty_2_designation,faculty_2_name,fee_in_inr,fee_in_usd,institute,prerequisites,skills,target_students,title,what_you_will_learn
,https://talentedge.com/ecornell/certificate-course-human-resources-management,,,,,,,,,,,,,,,,,
"1. Fundamentals of Operations Management
2. Demand Forecasting & Capacity Management
3. Supply Chain Planning
4. Introduction to Supply Chain Management & Supply Chain Strategy
5. Inventory Management
6. Sourcing, Supplier Relationships and Supply Chain Coordination
7. Logistics and Transportation Management
8. Dynamic Pricing in a Supply Chain
9. Retail, E-Commerce & Distribution Operations
10. Technological Innovations within Supply Chain Management
11. Capstone Project
12. Campus Component",https://talentedge.com/iim-lucknow/supply-chain-management,"05 May, 2024","The Executive Program in Supply Chain Management During Uncertain Times, from IIM Lucknow, seeks to help working professionals develop capabilities that will enable them to make effective managerial decisions and tackle complex challenges involving supply chain uncertainty amidst the global pandemic. The course focuses on developing the participant’s functional managem",Duration: 9 months,"Dr. Yash Daultani is a Faculty member of the Operations Management Group at the IIM Lucknow. Prior to joining the institute, he was with IIITM Gwalior and IMI Kolkata for a brief period. He holds a Doctoral (Fellow) degree from the Indian Institute of Management Lucknow. He consults and publishes in the areas of supply chain network design, product design, supply chain risk management, and healthcare operations management. He is currently working on Industry 4.0 applications in the domain of operations and supply chain management.",Program Director,Dr. Yash Daultani,"Dr. Yash Daultani is a Faculty member of the Operations Management Group at the IIM Lucknow. Prior to joining the institute, he was with IIITM Gwalior and IMI Kolkata for a brief period. He holds a Doctoral (Fellow) degree from the Indian Institute of Management Lucknow. He consults and publishes in the areas of supply chain network design, product design, supply chain risk management, and healthcare operations management. He is currently working on Industry 4.0 applications in the domain of operations and supply chain management.",Program Director - IIM Lucknow,Dr. Suresh K Jakhar,INR 1500 + GST,USD 0,IIM Lucknow,"Working professionals with a minimum of 2 years of work experience. | Note: For program aspirants with more than 20 years of work experience, selection will be on a case-to-case basis.", Supply Chain Management  |  Operation Management  |  Innovation skills  |  Risk Management  |  Warehouse Management  |  Logistics & Transportation Management ,"Mid-level Professionals, Senior-level Executives, Young Professionals, Professionals in Operations & Supply Chain", Executive Program," Supply chain management issues in a firm  |  Logistics and purchasing concepts to improve supply chain operations  |  Role of inventory and Warehouse management in overall planning and execution of supply chain management  |  Supply chain in the areas of transportation, purchasing, inventory management and customer service  |  Application of latest technologies such as Industry 4.0, Blockchain Technology, IOT, Dynamic Pricing etc in supply chain environment during uncertain times  |  Issues and challenges in warehouse management, its role in the allocation and accumulation of goods in the supply chain  |  Dynamic pricing in Supply Chain  |  Consequences of real decisions that impact the supply chain like cost, quality, customer service, coordination, outsourcing etc.  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One-on-one interactions "
"1. Strategic Analysis
2. Financial Management
3. Functional Strategy Formulation
4. Business & Corporate Strategy Formulation
5. Entrepreneurship & Innovation
6. Strategy Implementation
7. Managing Digital Transformation in Era of Industry 4.0
8. Strategic Leadership
9. Advanced Contemporary Themes in Strategy and Organization
10. Campus Component",https://talentedge.com/iim-lucknow/advanced-program-in-strategic-management-for-business-excellence,"30 Jun, 2024","In this heavily competitive and equally uncertain business environment, any organization that is committed to succeed has to constantly identify and explore strategic alternatives as well as align resources and ensure implemen",Duration: 9 months,"Dr. Anadi Pande is a Professor of Strategic Management at IIM Lucknow.  He is also the Faculty In Charge and Director of IIM Lucknow’s Incubator, which is a Section 25 company. He had three periods of engagement with IIM Lucknow as a full time faculty. These being December 2000 to March 2006; August 2014 to October 2015; and November 2016 to present. He is a unique amalgam of academics and industry. He worked with Tata Motors Ltd. for sixteen years and was identified for leadership positions through a fast track scheme of the company. He was Head of Project Engineering at TML’s Lucknow plant during its formation and later was Head of Vehicle Assembly factory.  He worked for Hero Honda motors for eight years as part of the leadership team being Head of Corporate Planning and Corporate HR. He built alliances for the group; leading separation negotiations to give strategic freedom to Hero Honda (separation of JV). As Project Head, he built the world’s largest capacity two wheeler factory at Haridwar. He has deep IR experience..In 2014 he moved to Larsen & Toubro, Mumbai, where he was Head – Corporate Strategy/Initiatives, reporting to Chairman. Later he joined Hero Cycles Ltd as Director, Corporate Strategy and Corporate HR, reporting to CMD. There he joined the Board of Directors of a British Subsidiary, Avocet Sports, Manchester. He writes and uses cases for pedagogy and has published research in both national and international blind peer reviewed journals of repute.",Professor Strategic Management,Dr. Anadi Saran Pande,"Dr. Anadi Pande is a Professor of Strategic Management at IIM Lucknow.  He is also the Faculty In Charge and Director of IIM Lucknow’s Incubator, which is a Section 25 company. He had three periods of engagement with IIM Lucknow as a full time faculty. These being December 2000 to March 2006; August 2014 to October 2015; and November 2016 to present. He is a unique amalgam of academics and industry. He worked with Tata Motors Ltd. for sixteen years and was identified for leadership positions through a fast track scheme of the company. He was Head of Project Engineering at TML’s Lucknow plant during its formation and later was Head of Vehicle Assembly factory.  He worked for Hero Honda motors for eight years as part of the leadership team being Head of Corporate Planning and Corporate HR. He built alliances for the group; leading separation negotiations to give strategic freedom to Hero Honda (separation of JV). As Project Head, he built the world’s largest capacity two wheeler factory at Haridwar. He has deep IR experience..In 2014 he moved to Larsen & Toubro, Mumbai, where he was Head – Corporate Strategy/Initiatives, reporting to Chairman. Later he joined Hero Cycles Ltd as Director, Corporate Strategy and Corporate HR, reporting to CMD. There he joined the Board of Directors of a British Subsidiary, Avocet Sports, Manchester. He writes and uses cases for pedagogy and has published research in both national and international blind peer reviewed journals of repute.",Prof IIM Lucknow,Prof. Priyanshu Gupta,INR 2000 + GST,USD 30,IIM Lucknow,"Working professionals with a minimum of 7 years of work experience  | Note: For program aspirants with more than 20 years of work experience, selection will be on a case-to-case basis", Decision Making  |  Strategic Leadership  |  Motivational Skills  |  Innovation  |  Persuasion and Influencing Skills  |  Communication  |  Critical Thinking Skills  |  Leadership Excellence  |  Human Resource Management ,"Industry Leaders, Business Unit Heads, Divisional Heads, Mid-Level Executives", Advanced Program, Pertinent and Dynamic aspects of Strategy  |  Advanced Contemporary Themes in Strategy  |  Leadership Styles and Attributes  |  Global Business & Economic Environment  |  Types of Strategies  |  Implementation and Execution of Strategies  |  Entrepreneurship & Innovation  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  One-on-one Interactions  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Mobile Platform Enabled 
"1. Management and Business Economics
2. Data Analytics
3. Financial Management
4. Highlights of Management (On Campus 1)
5. Marketing Management
6. Organizational Behaviour and HRM
7. Strategic Management
8. Operations and SCM
9. Industry Applications and Valedictory – (On Campus 2)
10. Campus Component",https://talentedge.com/iim-raipur/executive-certificate-program-in-general-management,,The current business environment is evolving faster than ever before and converging to join the global wave of Industry 4.0. This one-year general management course is a complete package to upskill working professionals to enab,,"Area: Business Policy and Strategy.His areas of interest in academics are focused on the human element in the field of strategic management and include Strategy as Practice and Leadership as Practice in context of Indian family businesses, Group Relations, Business Ethics, Philosophy, and Role of Innovation in Strategy Emergence/Evolution..He has served in the Corps of Engineers of the Indian Army for 23 years and has had the opportunity to serve all over India – from Jammu and Kashmir to Kerala – in wide ranging capacities, with different organizations (within and outside Army), in operations and in peace. An avid outdoor activity loving person, he is well versed in different adventure sports such as car rallying, sailing, scuba diving, hang gliding, white water rafting and rowing.",Associate Professor - IIM Raipur,Lt. Col. Dr. Samar Singh,"Area: Business Policy and Strategy.His areas of interest in academics are focused on the human element in the field of strategic management and include Strategy as Practice and Leadership as Practice in context of Indian family businesses, Group Relations, Business Ethics, Philosophy, and Role of Innovation in Strategy Emergence/Evolution..He has served in the Corps of Engineers of the Indian Army for 23 years and has had the opportunity to serve all over India – from Jammu and Kashmir to Kerala – in wide ranging capacities, with different organizations (within and outside Army), in operations and in peace. An avid outdoor activity loving person, he is well versed in different adventure sports such as car rallying, sailing, scuba diving, hang gliding, white water rafting and rowing.",Assistant Professor - IIM Raipur,Prof. Himanshu Srivastava,INR 160000 + GST,USD 3200,IIM Raipur,Minimum of 3 years of work experience, Management  |  Leadership  |  Analytical  |  Marketing  |  Communication  |  Decision-Making ,"Functional Managers, Entrepreneurs, Business Heads", Executive Certificate Program, Business Management  |  Financial Management  |  Business Models & Industry Analysis  |  Organization Behaviour  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Introduction to Digital Finance (DF) and Digital Finance Service (DFS)
2. Regulating digital currencies
3. Digital Finance Service Ecosystem
4. Strategic Principles for competing in the digital age
5. A customer perspective of DFS
6. Business Models for Digital Financial Services including future technologies
7. DFS Agent Network
8. Digital Financial Services
9. Risk Management and threat to Digital Financial Services
10. Fraud Management in Digital Financial Services
11. Digital Finance: Regulations and Policies",https://talentedge.com/iim-raipur/executive-certificate-program-in-digital-finance,,,,"Dr. Vinay Goyal is working as an Associate Professor with IIM Raipur in the area of Earnings Management, Banking, Bankruptcy, Accounting & Entrepreneurship. Dr. Goyal is a Chartered Accountant and has completed his Ph.D. from Devi Ahilya University, Indore (Madhya Pradesh) and FDP (Faculty Development Programme) from IIM Ahmedabad..Dr. Goyal has published various research papers and case studies in the journals of international repute and is an avid speaker at a number of national and international conferences. He has also organized a plethora of Management Development Programs and Faculty Development Programs..Apart from IIM Raipur, Dr. Goyal is also affiliated with Goa Institute of Management and also serves as a visiting faculty to IIM Kashipur and IIM Ranchi.","Ph.D, CA, FDP (IIM Ahmedabad)",Dr. Vinay Goyal,,,,INR 75000 + GST,USD 1700,IIM Raipur,,,, Executive Certificate Program,
"1. Quantitative Methods
2. Production, Operations and Project Management
3. Legal Aspects in Supply Chain Management
4. Introduction to Logistics and Supply Chain Management
5. Demand Analysis and Forecasting
6. Purchasing and Supply Management
7. Inventory Decisions and Management
8. IT and ERP in SCM
9. Warehousing Decisions and Management
10. Transportation Management
11. Campus Component
12. Campus Component",https://talentedge.com/xlri-jamshedpur/executive-certificate-program-in-logistics-and-supply-chain-management,,Learn to manage invariably complex issues in Logistics and Supply Chain • A dynamic supply chain can decrease purchasing and production costs for both sellers and manufacturers. • Research has showcased that 79% of companies with robust supply chains achieve revenue growth greater than the average within their industries. • 24.7% of supply chain professionals,,"Dr. Vijayaraghavan is a Professor in the area of Production, Operations Management and Decision Sciences Area & Information Systems at XLRI, Jamshedpur. He also serves as the Associate Dean (International and Corporate Programmes) and Chairperson, Centre for Logistics and Supply Chain Management at XLRI..Dr. Vijayaraghavan has published a number of papers in Indian and International journals. He is also a Six-Sigma trainer for corporates and has conducted several MDPs on Statistical Methods & Six Sigma for Decision making. He has conducted trainings in SCM programmes for various companies like IPCL, Lafarge Cements, Telcon, Daimler Chrysler, Rane Group, Coke, SAIL, BRPL, Tata Steel, Britannia, Tata Motors etc.","M. Stat. (ISI), PGD in SQC & OR (ISI), Fellow (IIM Bangalore)",Dr. T.A.S. Vijayaraghavan,,,,INR 140000 + GST,USD 2800,XLRI Jamshedpur,, Supply Chain management  |  Inventory and warehouse management skills  |  Decision-making  |  Negotiation skills ,"Mid-Level managers, Experienced executives, Young Professionals", Executive Certificate Program, Logistics & Supply Chain management  |  Production and Operations Management  |  Inventory and warehouse management  |  Demand Analysis & Forecasting  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Introduction to Digital Business and Marketing Strategy
2. Introduction to the Digital Landscape
3. Understanding Websites
4. Fundamentals of SEO and SEM
5. Competition In The Digital World
6. Fundamentals of Social Media Marketing
7. Remarketing & Marketing
8. Transitioning To Digital",https://talentedge.com/iim-raipur/executive-certificate-program-in-digital-marketing-course,,This 5 month certificate course in digital marketing and social media strategy is designed to provide an up-to-date comprehensive understanding of the rapidly evolving world of digital marketing. The course comprehensively covers the technical and behavioral fundamentals of digital marketing practices a,,"Area: Marketing.Dr. Sushant Kumar is an Assistant Professor in Marketing Management department at the Indian Institute of Management Raipur. He completed his PhD from Indian Institute of Management Shillong, Postgraduate Diploma in Project Management from The University of Hyderabad, and Bachelor of Technology from National Institute of Technology Durgapur. He has also completed the International Climate Action Course COP22, Marrakesh, Morocco. He has also published research papers, conference papers and cases in the journals of international repute in the areas of Consumer Behaviour, Life Course Study, Sustainability, Tourism and Industrial Marketing.",Assistant Professor - IIM Raipur,Prof. Sushant Kumar,"Area: Marketing.Dr. Sushant Kumar is an Assistant Professor in Marketing Management department at the Indian Institute of Management Raipur. He completed his PhD from Indian Institute of Management Shillong, Postgraduate Diploma in Project Management from The University of Hyderabad, and Bachelor of Technology from National Institute of Technology Durgapur. He has also completed the International Climate Action Course COP22, Marrakesh, Morocco. He has also published research papers, conference papers and cases in the journals of international repute in the areas of Consumer Behaviour, Life Course Study, Sustainability, Tourism and Industrial Marketing.",Assistant Professor - IIM Raipur,Prof. Arunima Shah,INR 75000 + GST,USD 1700,IIM Raipur,, Website Design  |  Social Media skills  |  Marketing skills  |  Digital Marketing ,"Early Professionals, Working Professionals, Business Heads", Executive Certificate Program, 95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Weekend Schedule  |  Alumni Network 
"1. Fundamentals of HR
2. Fundamentals of OB
3. Organizational Structure & Design
4. HR as a Business Partner (Strategic and Operational)
5. Talent Management
6. General Management
7. Campus Component",https://talentedge.com/iim-raipur/post-graduate-executive-certification-in-human-resource-management-iimr-hr,,Effective management of human capital and maintaining a cordial organization culture is critical to the success of most businesses. Regardless of whether an organization is an SME or a multinational organization; Human Resource Department (HRM) is the central cohesive source of development for any business.,,"Area: HRM & Organizational Behaviour.Prof. Damini Saini is an Assistant Professor in the area of Human Resource Management/ Organizational Behavior at Indian institute of Management, Raipur. Dr. Saini holds a PhD degree in HRM/OB from Faculty of Management Studies (FMS), University of Delhi. Her dissertation discusses the study of human development with Integral leadership model, that talks about the transcends of mind and possibilities of transformation from outside to inside and reflects the psychological, emotional, and spiritual well-being. Apart from this her scholarly interests are leadership, business ethics, significance of ethical education in management, and value-based management etc. She has contributed to various internationally acclaimed journals and book chapters. She has also actively taken part in various conferences and seminars.",Assistant Professor,Prof. Damini Saini,"Area: HRM & Organizational Behaviour.Prof. Damini Saini is an Assistant Professor in the area of Human Resource Management/ Organizational Behavior at Indian institute of Management, Raipur. Dr. Saini holds a PhD degree in HRM/OB from Faculty of Management Studies (FMS), University of Delhi. Her dissertation discusses the study of human development with Integral leadership model, that talks about the transcends of mind and possibilities of transformation from outside to inside and reflects the psychological, emotional, and spiritual well-being. Apart from this her scholarly interests are leadership, business ethics, significance of ethical education in management, and value-based management etc. She has contributed to various internationally acclaimed journals and book chapters. She has also actively taken part in various conferences and seminars.",Assistant Professor,Prof. Anubha Dadhich,INR 150000 + GST,USD 3000,IIM Raipur,HR Professionals – Minimum of at least 2 years of relevant work experience | Non HR Professionals – Minimum of 4 years of work experience, Communication  |  HR Planning & Management  |  Talent Management  |  Decision-Making  |  IR & Legal Framework  |  Reward & Recognition ,"Early HR professionals, Aspiring HR professionals, HR Managers, Entrepreneurs", Executive Certificate Program, Behavioural Issues within the Organization  |  Fundamentals of HR  |  Tools & Techniques of People Management  |  HR in Global Virtual Scenario  |  Talent Management  |  HR Planning  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  One on one interactions  |  Mobile platform enabled  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Basics
2. Financial Instruments and Their Markets
3. Market Risk
4. Credit Risk
5. Other Topics",https://talentedge.com/iim-kozhikode/applied-financial-risk-management-course,,"The increasing complexity and growth in the market value of financial assets and their derivatives highlight the need to manage investments in these securities, prudently and optimally. Professionals in financial institutions and corporates need a solid understanding of managem",,"Prof. Sony Thomas is Ph.D. in Finance from Department of Management Studies, IIT Madras. He has conducted various training programs in Finance to private and public sector companies. Prior to joining IIMK, he worked with Deloitte Research and GE Money-MSE Financial Decision Sciences Lab.","Ph.D (IIT Madras), MBA",Prof. Sony Thomas,"Prof. Sony Thomas is Ph.D. in Finance from Department of Management Studies, IIT Madras. He has conducted various training programs in Finance to private and public sector companies. Prior to joining IIMK, he worked with Deloitte Research and GE Money-MSE Financial Decision Sciences Lab.","Ph.D (IIT Bombay), MBF, ICWA",Dr. Jijo Lukose P J,INR 100000 + GST,USD 2000,IIM Kozhikode,"An overall experience of minimum 5 years in financial institutions/finance department of non-financial firms, or at least 3 years in a managerial position in such enterprises", Risk management  |  Decision-making  |  Financial risk management ,"Working Professionals, Finance Professionals, Unit Heads and Managers, Business Analyst", Professional Certificate Program," Financial Risk Management  |  Credit risk modelling and credit scores  |  Equity, Currency, and Commodity Markets  |  Modern risk management concepts  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning "
"1. Strategic Thinking
2. Strategic Planning
3. Strategy Execution
4. Strategy Application
5. Strategic Challenges",https://talentedge.com/iim-kozhikode/professional-certificate-program-in-strategic-management,,An organization involves a huge principal investment which makes strategizing an essential aspect for running successful internal operations and to get viable returns on the invested money. Realizing the fact that strategic planning is quintessential in successfully assist,,"Dr. S. Subramanian is an Associate Professor in the area of Strategic Management at IIM Kozhikode. He has 18 years of experience in management education and taught in the top ranked B-schools in India and abroad. He also has strong industry connection through executive education programs and consulting assignments in the field of Strategic Management..Awards
A case study titled ‘Scope e-Knowledge Center’ won the Best Case award in the Case Chase competition conducted at ‘Indian School of Business’ (ISB), Hyderabad in April 2005..Significant Publications
Subramanian.S & Reddy.V.N (2012) ‘Corporate Governance Disclosures and International Competitiveness: A study of Indian Firms’, Asian Business & Management, Vol. 11 No. 2, pp-195–218.Subramanian.S & Reddy.V.N (2010) ‘Relationship between Voluntary Disclosures and International Competition’, The Decision – IIM Calcutta Vol.37, No.2, pp 31-50.Subramanian.S (2008) ‘The Knowledge Company’ a chapter in a book titled ‘Entrepreneurship development- Cases on Indian Change Agents’ edited by.K.Ramachandran, Professor, Indian School of Business (ISB) Hyderabad and Published by Tata Mc Graw Hill.Vedpuriswar.A.V., Subramanian.S and Kaul Vivek (2004) ‘Coming up short on Disclosures’ Indian Management, Vol.43, No.8, pp 60-66","Assistant Professor, Ph.D, MBA, B.E (Mech)",Dr. S. Subramanian,,,,INR 80000 + GST,USD 1750,IIM Kozhikode,, Strategic management  |  Strategic planning  |  Strategic thinking  |  Decision-making ,"Industry leaders, Divisional Heads, Middle-level Executives, Working Professionals", Professional Certificate Program, Strategic management  |  Strategic planning  |  Organizational Structure & System  |  Entrepreneurship and new ventures  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Foundation Module
2. Advanced Module",https://talentedge.com/iim-raipur/certificate-course-machine-learning-for-managers,,"Machine Learning is no longer just a niche subfield of computer science, but every business has now begun to leverage its capabilities for its benefit. Machine learning algorithms power Flipkart and Amazon product recommendations, ride fares at Uber, fraud detection at banks and financial in",,"Area: Operations and Quantitative Methods.Prof. Mohit Goswami is a unique amalgam of academics and industry. Prof. Goswami prior to joining academia was associated with global fortune 500 manufacturers/groups including Caterpillar Inc. (Decatur, Illinois, USA), Tata Motors Ltd. (Pune and Jamshedpur) and Tata Hitachi Construction Machinery Co. Ltd. (Jamshedpur) in various engineering and technology management roles. At IIM Raipur, he teaches courses both at MBA and PhD programs. His research interests include new product development, supply chain design, product line management, risk modeling in supply chain. His research has been published in reputed journals as International Journal of Production Research, Journal of Intelligent Manufacturing, International Journal of Advanced Manufacturing Technology. He is one of the select few individuals whose PhD at IIT Kharagpur got awarded in around 2 years 6 months’ time. At IIM Raipur, he heads the online executive education as well as working executive MBA program.",Assistant Professor - IIM Raipur,Prof. Mohit Goswami,"Area: Operations and Quantitative Methods.Prof. Mohit Goswami is a unique amalgam of academics and industry. Prof. Goswami prior to joining academia was associated with global fortune 500 manufacturers/groups including Caterpillar Inc. (Decatur, Illinois, USA), Tata Motors Ltd. (Pune and Jamshedpur) and Tata Hitachi Construction Machinery Co. Ltd. (Jamshedpur) in various engineering and technology management roles. At IIM Raipur, he teaches courses both at MBA and PhD programs. His research interests include new product development, supply chain design, product line management, risk modeling in supply chain. His research has been published in reputed journals as International Journal of Production Research, Journal of Intelligent Manufacturing, International Journal of Advanced Manufacturing Technology. He is one of the select few individuals whose PhD at IIT Kharagpur got awarded in around 2 years 6 months’ time. At IIM Raipur, he heads the online executive education as well as working executive MBA program.",Assistant Professor - IIM Raipur,Prof. Gopal Kumar,INR 75000 + GST,USD 1700,IIM Raipur,, Data Visualization & Forecasting  |  Time series analysis  |  Decision Modeling  |  Statistics ,"Business Managers & Department Heads, Business & Data Analyst, Marketing Managers, Working Professionals", Executive Certificate Program," Analytics and ML Techniques and Algorithms  |  R, Python, and Spreadsheet Solver  |  Time Series Analysis and Forecasting using R  |  Past data  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled  |  Options for Loan Assistance "
"1. Understanding Role of Strategy in Business
2. Why Organizational Growth and Performance Need Strategy
3. Competition and Developing Competitive Advantage
4. International Business for Growth
5. Mergers and Acquisitions
6. Role of  Innovation in Securing Strategic Advantage
7. Strategy Execution, Leadership and Change Management
8. Ethics and its Influence on Emergent Strategy
9. Strategy for Emerging Markets and Knowledge Economy
10. Campus Component",https://talentedge.com/iim-raipur/certificate-course-strategic-management,,"The Executive Development Program in Advanced Strategic Management aims to build an in-depth understanding in the participant about strategy and strategic management. Mid-level managers responsible for making strategic decisions in line with the business goals, must b",,"Area: Business Policy and Strategy.His areas of interest in academics are focused on the human element in the field of strategic management and include Strategy as Practice and Leadership as Practice in context of Indian family businesses, Group Relations, Business Ethics, Philosophy, and Role of Innovation in Strategy Emergence/Evolution..He has served in the Corps of Engineers of the Indian Army for 23 years and has had the opportunity to serve all over India – from Jammu and Kashmir to Kerala – in wide ranging capacities, with different organizations (within and outside Army), in operations and in peace. An avid outdoor activity loving person, he is well versed in different adventure sports such as car rallying, sailing, scuba diving, hang gliding, white water rafting and rowing.",Associate Professor - IIM Raipur,Lt. Col. Dr. Samar Singh,"Area: Business Policy and Strategy.His areas of interest in academics are focused on the human element in the field of strategic management and include Strategy as Practice and Leadership as Practice in context of Indian family businesses, Group Relations, Business Ethics, Philosophy, and Role of Innovation in Strategy Emergence/Evolution..He has served in the Corps of Engineers of the Indian Army for 23 years and has had the opportunity to serve all over India – from Jammu and Kashmir to Kerala – in wide ranging capacities, with different organizations (within and outside Army), in operations and in peace. An avid outdoor activity loving person, he is well versed in different adventure sports such as car rallying, sailing, scuba diving, hang gliding, white water rafting and rowing.",Associate Professor - Business Policy and Strategy,Prof. Satyasiba Das,INR 180000 + GST,USD 3800,IIM Raipur,, Strategic management  |  Strategic planning  |  Strategic thinking  |  Decision-making ,"Leaders, Managers & Function Heads, Executives, Professionals from Finance, Marketing, HR, Manufacturing, etc", Executive Development Program, Strategy and strategic management of business  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled  |  Options for Loan Assistance 
